frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
188,1781802246.877217,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
189,1781802246.8772597,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
190,1781802246.87731,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
191,1781802246.8851686,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
192,1781802246.8852625,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
193,1781802246.8873563,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
194,1781802246.8947768,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
195,1781802246.9361835,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
196,1781802247.4317153,PRIVATE_IP_001,PRIVATE_IP_021,47146,502,query,0,1,0,0,0,0
197,1781802247.4351053,PRIVATE_IP_021,PRIVATE_IP_001,502,47146,response,0,1,0,0,1,0
198,1781802247.435171,PRIVATE_IP_001,PRIVATE_IP_021,47146,502,query,0,0,0,0,1,0
199,1781802247.4351783,PRIVATE_IP_001,PRIVATE_IP_021,47146,502,query,0,0,1,0,1,0
200,1781802247.4388475,PRIVATE_IP_021,PRIVATE_IP_001,502,47146,response,0,0,0,0,1,0
201,1781802247.4421666,PRIVATE_IP_021,PRIVATE_IP_001,502,47146,response,0,0,1,0,1,0
202,1781802247.442204,PRIVATE_IP_001,PRIVATE_IP_021,47146,502,query,0,0,0,0,1,0
203,1781802247.8539968,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
204,1781802247.861132,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
205,1781802247.8612332,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
206,1781802247.863783,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
207,1781802247.868825,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
208,1781802247.8723352,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
209,1781802247.8724408,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
210,1781802247.8801036,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
211,1781802247.8801892,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
212,1781802247.8824902,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
213,1781802247.8835309,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
214,1781802247.891227,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
215,1781802247.9231877,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
216,1781802247.9321415,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
217,1781802248.443036,PRIVATE_IP_001,PRIVATE_IP_021,42632,502,query,0,1,0,0,0,0
218,1781802248.4462762,PRIVATE_IP_021,PRIVATE_IP_001,502,42632,response,0,1,0,0,1,0
219,1781802248.4462993,PRIVATE_IP_001,PRIVATE_IP_021,42632,502,query,0,0,0,0,1,0
